Make,Year,EngineFuelType,EngineHP,EngineCylinders,TransmissionType,DrivenWheels,NumberofDoors,MarketCategory,VehicleSize,VehicleStyle,highwayMPG,citympg,Popularity,MSRP
Audi,1993,petrol,172,6,MANUAL,front wheel drive,4,Luxury,Midsize,Sedan,24,17,3105,2000
Audi,1993,petrol,172,6,MANUAL,all wheel drive,4,Luxury,Midsize,Sedan,21,16,3105,2000
Audi,1994,petrol,172,6,AUTOMATIC,front wheel drive,4,Luxury,Midsize,Wagon,21,16,3105,2000
Audi,1994,petrol,172,6,MANUAL,all wheel drive,4,Luxury,Midsize,Sedan,22,16,3105,2000
Audi,1994,petrol,172,6,MANUAL,front wheel drive,4,Luxury,Midsize,Sedan,22,17,3105,2000
Audi,1994,petrol,172,6,AUTOMATIC,front wheel drive,4,Luxury,Midsize,Sedan,22,16,3105,2000
Audi,1994,petrol,172,6,AUTOMATIC,all wheel drive,4,Luxury,Midsize,Wagon,21,16,3105,2000
BMW,2016,premium unleaded (required),240,4,AUTOMATIC,rear wheel drive,2,"Luxury,Performance",Compact,Coupe,35,23,3916,32850
BMW,2016,premium unleaded (required),240,4,AUTOMATIC,rear wheel drive,2,Luxury,Compact,Convertible,34,23,3916,38650
BMW,2016,premium unleaded (required),320,6,AUTOMATIC,rear wheel drive,2,"Factory Tuner,Luxury,High-Performance",Compact,Convertible,31,20,3916,48750
BMW,2016,premium unleaded (required),240,4,AUTOMATIC,all wheel drive,2,"Luxury,Performance",Compact,Coupe,35,23,3916,34850
BMW,2016,premium unleaded (required),240,4,AUTOMATIC,all wheel drive,2,Luxury,Compact,Convertible,34,22,3916,40650
BMW,2016,premium unleaded (required),320,6,AUTOMATIC,rear wheel drive,2,"Factory Tuner,Luxury,High-Performance",Compact,Coupe,31,20,3916,44150
BMW,2016,premium unleaded (required),240,4,MANUAL,rear wheel drive,2,"Luxury,Performance",Compact,Coupe,34,22,3916,32850
BMW,2016,premium unleaded (required),320,6,AUTOMATIC,all wheel drive,2,"Factory Tuner,Luxury,High-Performance",Compact,Coupe,30,20,3916,46150
BMW,2016,premium unleaded (required),320,6,AUTOMATIC,rear wheel drive,2,"Factory Tuner,Luxury,High-Performance",Compact,Convertible,30,20,3916,50750
BMW,2017,premium unleaded (recommended),335,6,AUTOMATIC,all wheel drive,2,"Factory Tuner,Luxury,High-Performance",Compact,Coupe,31,21,3916,46450
BMW,2017,premium unleaded (recommended),335,6,AUTOMATIC,rear wheel drive,2,"Factory Tuner,Luxury,High-Performance",Compact,Convertible,32,21,3916,49050
BMW,2017,premium unleaded (recommended),335,6,AUTOMATIC,all wheel drive,2,"Factory Tuner,Luxury,High-Performance",Compact,Convertible,32,21,3916,51050
BMW,2017,premium unleaded (recommended),335,6,AUTOMATIC,rear wheel drive,2,"Factory Tuner,Luxury,High-Performance",Compact,Coupe,32,21,3916,44450
BMW,2017,premium unleaded (recommended),248,4,AUTOMATIC,rear wheel drive,2,"Luxury,Performance",Compact,Convertible,34,23,3916,38950
BMW,2017,premium unleaded (recommended),248,4,AUTOMATIC,rear wheel drive,2,"Luxury,Performance",Compact,Coupe,35,24,3916,33150
BMW,2017,premium unleaded (recommended),248,4,AUTOMATIC,all wheel drive,2,"Luxury,Performance",Compact,Coupe,33,24,3916,35150
BMW,2017,premium unleaded (recommended),248,4,AUTOMATIC,all wheel drive,2,Luxury,Compact,Convertible,33,23,3916,40950
Audi,1990,petrol,162,5,AUTOMATIC,front wheel drive,4,Luxury,Midsize,Sedan,20,16,3105,2000
Audi,1990,petrol,162,5,MANUAL,all wheel drive,4,Luxury,Midsize,Wagon,22,15,3105,2000
Audi,1990,petrol,162,5,MANUAL,all wheel drive,4,Luxury,Midsize,Sedan,23,15,3105,2000
Audi,1991,petrol,217,5,MANUAL,all wheel drive,4,"Luxury,Performance",Midsize,Sedan,22,16,3105,2000
Audi,1991,petrol,217,5,MANUAL,all wheel drive,4,"Luxury,Performance",Midsize,Wagon,22,16,3105,2000
Audi,1991,petrol,162,5,AUTOMATIC,front wheel drive,4,Luxury,Midsize,Sedan,20,16,3105,2000
BMW,2015,premium unleaded (required),300,6,AUTOMATIC,all wheel drive,4,"Hatchback,Luxury,Performance",Midsize,4dr Hatchback,30,20,3916,47250
BMW,2015,premium unleaded (required),240,4,AUTOMATIC,all wheel drive,4,"Hatchback,Luxury",Midsize,4dr Hatchback,33,22,3916,41850
BMW,2015,premium unleaded (required),240,4,AUTOMATIC,all wheel drive,4,"Hatchback,Luxury",Midsize,4dr Hatchback,33,22,3916,41850
BMW,2016,premium unleaded (required),240,4,AUTOMATIC,all wheel drive,4,"Hatchback,Luxury",Midsize,4dr Hatchback,34,22,3916,43000
BMW,2016,premium unleaded (required),300,6,AUTOMATIC,all wheel drive,4,"Hatchback,Luxury,Performance",Midsize,4dr Hatchback,30,20,3916,49200
BMW,2017,premium unleaded (required),320,6,AUTOMATIC,all wheel drive,4,"Hatchback,Luxury,Performance",Midsize,4dr Hatchback,30,20,3916,49650
BMW,2017,premium unleaded (required),248,4,AUTOMATIC,all wheel drive,4,"Hatchback,Luxury",Midsize,4dr Hatchback,33,23,3916,43950
BMW,2015,premium unleaded (required),241,4,AUTOMATIC,all wheel drive,4,Luxury,Midsize,Wagon,33,22,3916,41950
BMW,2015,premium unleaded (required),335,6,AUTOMATIC,rear wheel drive,4,"Luxury,High-Performance,Hybrid",Midsize,Sedan,33,25,3916,50150
BMW,2015,premium unleaded (required),240,4,AUTOMATIC,rear wheel drive,4,"Luxury,Performance",Midsize,Sedan,35,23,3916,37500
BMW,2015,premium unleaded (required),300,6,AUTOMATIC,rear wheel drive,4,"Luxury,High-Performance",Midsize,Sedan,32,21,3916,43750
BMW,2015,diesel,180,4,AUTOMATIC,rear wheel drive,4,"Diesel,Luxury",Midsize,Sedan,45,32,3916,39000
BMW,2015,premium unleaded (required),240,4,AUTOMATIC,all wheel drive,4,Luxury,Midsize,Sedan,33,22,3916,39500
BMW,2015,premium unleaded (required),240,4,AUTOMATIC,all wheel drive,4,Luxury,Midsize,Sedan,33,22,3916,39500
BMW,2015,premium unleaded (required),180,4,AUTOMATIC,all wheel drive,4,Luxury,Midsize,Sedan,35,23,3916,34950
BMW,2015,premium unleaded (required),300,6,AUTOMATIC,all wheel drive,4,"Luxury,Performance",Midsize,Sedan,30,20,3916,45750
BMW,2015,diesel,180,4,AUTOMATIC,all wheel drive,4,"Diesel,Luxury",Midsize,Wagon,43,31,3916,43450
BMW,2015,premium unleaded (required),240,4,AUTOMATIC,rear wheel drive,4,"Luxury,Performance",Midsize,Sedan,35,23,3916,37500
BMW,2015,diesel,180,4,AUTOMATIC,all wheel drive,4,"Diesel,Luxury",Midsize,Sedan,43,31,3916,41000
BMW,2015,premium unleaded (required),180,4,AUTOMATIC,rear wheel drive,4,Luxury,Midsize,Sedan,36,24,3916,32950
BMW,2016,diesel,180,4,AUTOMATIC,all wheel drive,4,"Diesel,Luxury",Midsize,Sedan,40,30,3916,41850
BMW,2016,premium unleaded (required),320,6,AUTOMATIC,all wheel drive,4,"Luxury,High-Performance",Midsize,Sedan,33,22,3916,47800
BMW,2016,diesel,180,4,AUTOMATIC,rear wheel drive,4,"Diesel,Luxury",Midsize,Sedan,42,32,3916,39850
BMW,2016,premium unleaded (required),240,4,AUTOMATIC,rear wheel drive,4,"Luxury,Performance",Midsize,Sedan,34,22,3916,38350
BMW,2016,premium unleaded (required),240,4,AUTOMATIC,all wheel drive,4,Luxury,Midsize,Sedan,34,22,3916,40350
BMW,2016,premium unleaded (required),240,4,MANUAL,rear wheel drive,4,"Luxury,Performance",Midsize,Sedan,34,22,3916,38350
BMW,2016,premium unleaded (required),240,4,AUTOMATIC,all wheel drive,4,Luxury,Midsize,Wagon,34,22,3916,42650
BMW,2016,premium unleaded (required),180,4,AUTOMATIC,rear wheel drive,4,Luxury,Midsize,Sedan,36,24,3916,33150
BMW,2016,premium unleaded (required),180,4,AUTOMATIC,all wheel drive,4,Luxury,Midsize,Sedan,35,23,3916,35150
BMW,2016,diesel,180,4,AUTOMATIC,all wheel drive,4,"Diesel,Luxury",Midsize,Wagon,40,30,3916,44150
BMW,2016,premium unleaded (required),320,6,AUTOMATIC,rear wheel drive,4,"Luxury,High-Performance",Midsize,Sedan,33,22,3916,45800
BMW,2017,premium unleaded (recommended),248,4,AUTOMATIC,rear wheel drive,4,"Luxury,Performance",Midsize,Sedan,34,23,3916,38750
BMW,2017,premium unleaded (recommended),180,4,AUTOMATIC,all wheel drive,4,Luxury,Midsize,Sedan,34,23,3916,35450
BMW,2017,premium unleaded (recommended),180,4,AUTOMATIC,rear wheel drive,4,Luxury,Midsize,Sedan,35,23,3916,33450
BMW,2017,premium unleaded (recommended),248,4,AUTOMATIC,all wheel drive,4,Luxury,Midsize,Sedan,33,23,3916,40750
BMW,2017,diesel,180,4,AUTOMATIC,all wheel drive,4,"Diesel,Luxury",Midsize,Sedan,40,30,3916,42250
BMW,2017,premium unleaded (recommended),248,4,AUTOMATIC,all wheel drive,4,Luxury,Midsize,Wagon,33,23,3916,42950
BMW,2017,diesel,180,4,AUTOMATIC,rear wheel drive,4,"Diesel,Luxury",Midsize,Sedan,42,32,3916,40250
BMW,2017,premium unleaded (recommended),320,6,AUTOMATIC,all wheel drive,4,"Luxury,Performance",Midsize,Sedan,31,21,3916,49900
BMW,2017,premium unleaded (recommended),320,6,AUTOMATIC,rear wheel drive,4,"Luxury,High-Performance",Midsize,Sedan,32,21,3916,47900
BMW,2017,diesel,180,4,AUTOMATIC,all wheel drive,4,"Diesel,Luxury",Midsize,Wagon,40,30,3916,44450
BMW,2015,premium unleaded (required),240,4,AUTOMATIC,all wheel drive,4,Luxury,Midsize,Sedan,33,22,3916,42300
BMW,2015,premium unleaded (required),240,4,AUTOMATIC,rear wheel drive,4,Luxury,Midsize,Sedan,34,23,3916,40300
BMW,2015,premium unleaded (required),240,4,AUTOMATIC,rear wheel drive,4,Luxury,Midsize,Sedan,34,23,3916,40300
BMW,2015,premium unleaded (required),240,4,AUTOMATIC,all wheel drive,4,Luxury,Midsize,Sedan,33,22,3916,42300
BMW,2015,premium unleaded (required),300,6,AUTOMATIC,rear wheel drive,4,"Luxury,Performance",Midsize,Sedan,32,21,3916,45800
BMW,2015,premium unleaded (required),300,6,AUTOMATIC,all wheel drive,4,"Luxury,Performance",Midsize,Sedan,31,20,3916,47800
BMW,2016,premium unleaded (required),240,4,AUTOMATIC,all wheel drive,4,Luxury,Midsize,Sedan,34,22,3916,43650
BMW,2016,premium unleaded (required),300,6,AUTOMATIC,all wheel drive,4,"Luxury,Performance",Midsize,Sedan,30,20,3916,49950
BMW,2016,premium unleaded (required),300,6,AUTOMATIC,rear wheel drive,4,"Luxury,Performance",Midsize,Sedan,31,20,3916,47950
BMW,2016,premium unleaded (required),240,4,AUTOMATIC,rear wheel drive,4,Luxury,Midsize,Sedan,34,23,3916,41650
BMW,2017,premium unleaded (recommended),320,6,AUTOMATIC,rear wheel drive,4,"Luxury,High-Performance",Midsize,Sedan,32,21,3916,48300
BMW,2017,premium unleaded (recommended),320,6,AUTOMATIC,all wheel drive,4,"Luxury,Performance",Midsize,Sedan,31,21,3916,50300
BMW,2017,premium unleaded (recommended),248,4,AUTOMATIC,all wheel drive,4,Luxury,Midsize,Sedan,33,23,3916,43950
BMW,2017,premium unleaded (recommended),248,4,AUTOMATIC,rear wheel drive,4,"Luxury,Performance",Midsize,Sedan,34,23,3916,41950
BMW,2015,premium unleaded (required),300,6,AUTOMATIC,all wheel drive,2,"Luxury,Performance",Midsize,Convertible,29,20,3916,56900
BMW,2015,premium unleaded (required),300,6,AUTOMATIC,rear wheel drive,2,"Luxury,Performance",Midsize,Coupe,32,21,3916,46250
BMW,2015,premium unleaded (required),240,4,AUTOMATIC,all wheel drive,2,Luxury,Midsize,Convertible,33,21,3916,50750
BMW,2015,premium unleaded (required),240,4,AUTOMATIC,all wheel drive,2,Luxury,Midsize,Coupe,33,22,3916,42750
BMW,2015,premium unleaded (required),240,4,AUTOMATIC,rear wheel drive,2,Luxury,Midsize,Convertible,34,23,3916,48750
BMW,2015,premium unleaded (required),300,6,AUTOMATIC,all wheel drive,2,"Luxury,Performance",Midsize,Coupe,30,20,3916,48250
BMW,2015,premium unleaded (required),240,4,AUTOMATIC,all wheel drive,2,Luxury,Midsize,Coupe,33,22,3916,42750
BMW,2015,premium unleaded (required),240,4,AUTOMATIC,all wheel drive,2,Luxury,Midsize,Convertible,33,21,3916,50750
BMW,2015,premium unleaded (required),240,4,AUTOMATIC,rear wheel drive,2,"Luxury,Performance",Midsize,Coupe,35,23,3916,40750
BMW,2015,premium unleaded (required),300,6,AUTOMATIC,rear wheel drive,2,"Luxury,Performance",Midsize,Convertible,31,20,3916,54900
BMW,2015,premium unleaded (required),240,4,AUTOMATIC,rear wheel drive,2,Luxury,Midsize,Convertible,34,23,3916,48750
BMW,2015,premium unleaded (required),240,4,AUTOMATIC,rear wheel drive,2,"Luxury,Performance",Midsize,Coupe,35,23,3916,40750
BMW,2016,premium unleaded (required),240,4,AUTOMATIC,all wheel drive,2,Luxury,Midsize,Convertible,33,21,3916,52000
BMW,2016,premium unleaded (required),240,4,AUTOMATIC,rear wheel drive,2,Luxury,Midsize,Convertible,34,23,3916,50000
BMW,2016,premium unleaded (required),240,4,MANUAL,rear wheel drive,2,"Luxury,Performance",Midsize,Coupe,34,22,3916,41850
BMW,2016,premium unleaded (required),300,6,AUTOMATIC,all wheel drive,2,"Luxury,Performance",Midsize,Coupe,30,20,3916,50150
BMW,2016,premium unleaded (required),240,4,AUTOMATIC,rear wheel drive,2,"Luxury,Performance",Midsize,Coupe,35,23,3916,41850
BMW,2016,premium unleaded (required),300,6,AUTOMATIC,all wheel drive,2,"Luxury,Performance",Midsize,Convertible,29,20,3916,58950
BMW,2016,premium unleaded (required),240,4,AUTOMATIC,all wheel drive,2,Luxury,Midsize,Coupe,34,22,3916,43850
BMW,2016,premium unleaded (required),300,6,AUTOMATIC,rear wheel drive,2,"Luxury,Performance",Midsize,Coupe,31,20,3916,48150
BMW,2016,premium unleaded (required),300,6,AUTOMATIC,rear wheel drive,2,"Luxury,Performance",Midsize,Convertible,31,20,3916,56950
BMW,2017,premium unleaded (recommended),248,4,AUTOMATIC,rear wheel drive,2,Luxury,Midsize,Convertible,34,23,3916,50300
BMW,2017,premium unleaded (recommended),248,4,AUTOMATIC,all wheel drive,2,Luxury,Midsize,Convertible,32,22,3916,52300
BMW,2017,premium unleaded (recommended),320,6,AUTOMATIC,all wheel drive,2,"Luxury,Performance",Midsize,Coupe,31,21,3916,50500
BMW,2017,premium unleaded (recommended),248,4,AUTOMATIC,all wheel drive,2,"Luxury,Performance",Midsize,Coupe,33,23,3916,44150
BMW,2017,premium unleaded (recommended),248,4,AUTOMATIC,rear wheel drive,2,"Luxury,Performance",Midsize,Coupe,34,23,3916,42150
BMW,2017,premium unleaded (recommended),320,6,AUTOMATIC,all wheel drive,2,"Luxury,Performance",Midsize,Convertible,30,20,3916,59300
BMW,2017,premium unleaded (recommended),320,6,AUTOMATIC,rear wheel drive,2,"Luxury,Performance",Midsize,Convertible,29,21,3916,57300
BMW,2017,premium unleaded (recommended),320,6,AUTOMATIC,rear wheel drive,2,"Luxury,Performance",Midsize,Coupe,32,21,3916,48500
BMW,2015,premium unleaded (required),300,6,AUTOMATIC,rear wheel drive,4,"Hatchback,Luxury",Large,4dr Hatchback,28,19,3916,60700
BMW,2015,premium unleaded (required),445,8,AUTOMATIC,all wheel drive,4,"Hatchback,Luxury,Performance",Large,4dr Hatchback,24,16,3916,71400
BMW,2015,premium unleaded (required),300,6,AUTOMATIC,all wheel drive,4,"Hatchback,Luxury",Large,4dr Hatchback,26,18,3916,63000
BMW,2015,premium unleaded (required),445,8,AUTOMATIC,rear wheel drive,4,"Hatchback,Luxury,Performance",Large,4dr Hatchback,25,16,3916,69100
BMW,2016,premium unleaded (required),300,6,AUTOMATIC,all wheel drive,4,"Hatchback,Luxury",Large,4dr Hatchback,26,18,3916,63200
BMW,2016,premium unleaded (required),445,8,AUTOMATIC,all wheel drive,4,"Hatchback,Luxury,Performance",Large,4dr Hatchback,24,16,3916,72500
BMW,2016,premium unleaded (required),300,6,AUTOMATIC,rear wheel drive,4,"Hatchback,Luxury",Large,4dr Hatchback,28,19,3916,60900
BMW,2017,premium unleaded (required),300,6,AUTOMATIC,all wheel drive,4,"Hatchback,Luxury",Large,4dr Hatchback,26,18,3916,63200
BMW,2017,premium unleaded (required),300,6,AUTOMATIC,rear wheel drive,4,"Hatchback,Luxury,Performance",Large,4dr Hatchback,27,19,3916,60900
BMW,2017,premium unleaded (required),445,8,AUTOMATIC,all wheel drive,4,"Hatchback,Luxury,Performance",Large,4dr Hatchback,24,15,3916,72500
BMW,2015,premium unleaded (required),443,8,AUTOMATIC,all wheel drive,4,"Luxury,High-Performance",Large,Sedan,25,16,3916,67200
BMW,2015,premium unleaded (required),302,6,AUTOMATIC,all wheel drive,4,"Luxury,Performance",Large,Sedan,29,20,3916,57900
BMW,2015,diesel,255,6,AUTOMATIC,rear wheel drive,4,"Diesel,Luxury",Large,Sedan,38,26,3916,57100
BMW,2015,premium unleaded (required),241,4,AUTOMATIC,all wheel drive,4,Luxury,Large,Sedan,33,22,3916,52250
BMW,2015,diesel,255,6,AUTOMATIC,all wheel drive,4,"Diesel,Luxury",Large,Sedan,37,26,3916,59400
BMW,2015,premium unleaded (required),443,8,AUTOMATIC,rear wheel drive,4,"Luxury,High-Performance",Large,Sedan,25,17,3916,64900
BMW,2015,premium unleaded (required),241,4,AUTOMATIC,rear wheel drive,4,Luxury,Large,Sedan,34,23,3916,49950
BMW,2015,premium unleaded (required),302,6,AUTOMATIC,rear wheel drive,4,"Luxury,Performance",Large,Sedan,31,20,3916,55600
BMW,2016,diesel,255,6,AUTOMATIC,rear wheel drive,4,"Diesel,Luxury",Large,Sedan,38,26,3916,57350
BMW,2016,premium unleaded (required),302,6,AUTOMATIC,all wheel drive,4,"Luxury,Performance",Large,Sedan,29,20,3916,58150
BMW,2016,premium unleaded (required),302,6,AUTOMATIC,rear wheel drive,4,"Luxury,Performance",Large,Sedan,31,20,3916,55850
BMW,2016,premium unleaded (required),240,4,AUTOMATIC,all wheel drive,4,Luxury,Large,Sedan,34,22,3916,52500
BMW,2016,premium unleaded (required),240,4,AUTOMATIC,rear wheel drive,4,Luxury,Large,Sedan,34,23,3916,50200
BMW,2016,premium unleaded (required),443,8,AUTOMATIC,all wheel drive,4,"Luxury,High-Performance",Large,Sedan,25,16,3916,68600
BMW,2016,premium unleaded (required),443,8,AUTOMATIC,rear wheel drive,4,"Luxury,High-Performance",Large,Sedan,25,17,3916,66300
BMW,2016,diesel,255,6,AUTOMATIC,all wheel drive,4,"Diesel,Luxury",Large,Sedan,37,26,3916,59650
BMW,2015,premium unleaded (required),445,8,AUTOMATIC,all wheel drive,4,"Luxury,High-Performance",Large,Sedan,24,16,3916,92600
BMW,2015,premium unleaded (required),315,6,AUTOMATIC,all wheel drive,4,"Luxury,Performance",Large,Sedan,29,20,3916,81300
BMW,2015,premium unleaded (required),315,6,AUTOMATIC,rear wheel drive,4,"Luxury,Performance",Large,Sedan,31,20,3916,78300
BMW,2015,premium unleaded (required),445,8,AUTOMATIC,rear wheel drive,4,"Luxury,High-Performance",Large,Sedan,25,17,3916,89600
BMW,2016,premium unleaded (required),445,8,AUTOMATIC,all wheel drive,4,"Luxury,High-Performance",Large,Sedan,24,15,3916,93900
BMW,2016,premium unleaded (required),315,6,AUTOMATIC,all wheel drive,4,"Luxury,Performance",Large,Sedan,29,20,3916,82500
BMW,2016,premium unleaded (required),445,8,AUTOMATIC,rear wheel drive,4,"Luxury,High-Performance",Large,Sedan,25,17,3916,90900
BMW,2016,premium unleaded (required),315,6,AUTOMATIC,rear wheel drive,4,"Luxury,Performance",Large,Sedan,31,20,3916,79500
BMW,2017,premium unleaded (required),445,8,AUTOMATIC,rear wheel drive,4,"Luxury,High-Performance",Large,Sedan,24,17,3916,91200
BMW,2017,premium unleaded (required),315,6,AUTOMATIC,all wheel drive,4,"Luxury,Performance",Large,Sedan,28,19,3916,82800
BMW,2017,premium unleaded (required),445,8,AUTOMATIC,all wheel drive,4,"Luxury,High-Performance",Large,Sedan,24,15,3916,94200
BMW,2017,premium unleaded (required),315,6,AUTOMATIC,rear wheel drive,4,"Luxury,Performance",Large,Sedan,29,20,3916,79800
BMW,2015,premium unleaded (required),445,8,AUTOMATIC,rear wheel drive,2,"Luxury,High-Performance",Midsize,Convertible,25,17,3916,94900
BMW,2015,premium unleaded (required),315,6,AUTOMATIC,all wheel drive,2,"Luxury,Performance",Midsize,Convertible,29,20,3916,86600
BMW,2015,premium unleaded (required),315,6,AUTOMATIC,all wheel drive,2,"Luxury,Performance",Midsize,Coupe,29,20,3916,79100
BMW,2015,premium unleaded (required),315,6,AUTOMATIC,rear wheel drive,2,"Luxury,Performance",Midsize,Coupe,32,21,3916,76100
BMW,2015,premium unleaded (required),445,8,AUTOMATIC,all wheel drive,2,"Luxury,High-Performance",Midsize,Coupe,25,16,3916,90400
BMW,2015,premium unleaded (required),315,6,AUTOMATIC,rear wheel drive,2,"Luxury,Performance",Midsize,Convertible,31,20,3916,83600
BMW,2015,premium unleaded (required),445,8,AUTOMATIC,rear wheel drive,2,"Luxury,High-Performance",Midsize,Coupe,25,17,3916,87400
BMW,2015,premium unleaded (required),445,8,AUTOMATIC,all wheel drive,2,"Luxury,High-Performance",Midsize,Convertible,24,16,3916,97900
BMW,2016,premium unleaded (required),315,6,AUTOMATIC,all wheel drive,2,"Luxury,Performance",Midsize,Convertible,29,20,3916,87800
BMW,2016,premium unleaded (required),315,6,AUTOMATIC,rear wheel drive,2,"Luxury,Performance",Midsize,Coupe,31,20,3916,77300
BMW,2016,premium unleaded (required),445,8,AUTOMATIC,all wheel drive,2,"Luxury,High-Performance",Midsize,Convertible,24,15,3916,99200
BMW,2016,premium unleaded (required),445,8,AUTOMATIC,rear wheel drive,2,"Luxury,High-Performance",Midsize,Convertible,25,17,3916,96200
BMW,2016,premium unleaded (required),315,6,AUTOMATIC,all wheel drive,2,"Luxury,Performance",Midsize,Coupe,29,20,3916,80300
BMW,2016,premium unleaded (required),315,6,AUTOMATIC,rear wheel drive,2,"Luxury,Performance",Midsize,Convertible,31,20,3916,84800
BMW,2016,premium unleaded (required),445,8,AUTOMATIC,all wheel drive,2,"Luxury,High-Performance",Midsize,Coupe,25,16,3916,91700
BMW,2016,premium unleaded (required),445,8,AUTOMATIC,rear wheel drive,2,"Luxury,High-Performance",Midsize,Coupe,25,17,3916,88700
BMW,2017,premium unleaded (required),445,8,AUTOMATIC,all wheel drive,2,"Luxury,High-Performance",Midsize,Coupe,24,16,3916,92000
BMW,2017,premium unleaded (required),315,6,AUTOMATIC,rear wheel drive,2,"Luxury,Performance",Midsize,Coupe,30,21,3916,77600
BMW,2017,premium unleaded (required),445,8,AUTOMATIC,rear wheel drive,2,"Luxury,High-Performance",Midsize,Coupe,24,17,3916,89000
BMW,2017,premium unleaded (required),315,6,AUTOMATIC,all wheel drive,2,"Luxury,Performance",Midsize,Coupe,28,19,3916,80600
BMW,2017,premium unleaded (required),315,6,AUTOMATIC,rear wheel drive,2,"Luxury,Performance",Midsize,Convertible,29,20,3916,85100
BMW,2017,premium unleaded (required),315,6,AUTOMATIC,all wheel drive,2,"Luxury,Performance",Midsize,Convertible,28,19,3916,88100
BMW,2017,premium unleaded (required),445,8,AUTOMATIC,rear wheel drive,2,"Luxury,High-Performance",Midsize,Convertible,24,17,3916,96500
BMW,2017,premium unleaded (required),445,8,AUTOMATIC,all wheel drive,2,"Luxury,High-Performance",Midsize,Convertible,24,15,3916,99500
BMW,2015,premium unleaded (required),535,12,AUTOMATIC,rear wheel drive,4,"Luxury,High-Performance",Large,Sedan,20,13,3916,141200
BMW,2015,premium unleaded (required),315,6,AUTOMATIC,rear wheel drive,4,"Luxury,Performance",Large,Sedan,29,19,3916,78000
BMW,2015,premium unleaded (required),445,8,AUTOMATIC,rear wheel drive,4,"Luxury,High-Performance",Large,Sedan,25,16,3916,91000
BMW,2015,premium unleaded (required),445,8,AUTOMATIC,all wheel drive,4,"Luxury,High-Performance",Large,Sedan,24,16,3916,94000
BMW,2015,premium unleaded (required),315,6,AUTOMATIC,all wheel drive,4,"Luxury,Performance",Large,Sedan,28,19,3916,81000
